coding_order,trace_id,difficulty,endpoint,first_bad_step,phase,failure_mode,mode_name,blame_final,one_line,evidence_quote,tests_run_before_submit,verified_fix,gave_up,secondary,confidence,adjudication,cost_usd,seconds
11,django__django-13401,15 min - 1 hour,wrong_or_no_fix,100,implementation,M6,implementation slip inverted its own stated plan,agent,"steps 25-26 and 93-94 had already proven that ModelBase classes raise TypeError on '<', yet the step 100 edit wrote __lt__ as getattr(self,'model',None) < getattr(other,'model',None), guaranteeing a TypeError whenever creation counters tie, which is exactly the assertLess path the graded test exercises.","TypeError on b < c: '<' not supported between instances of 'ModelBase' and 'ModelBase'
TypeError on sorted: '<' not supported between instances of 'ModelBase' and 'ModelBase'",True,True,False,"step 131-132 re-ran the exact tie-breaking case, saw 'TypeError on b < c' and 'TypeError on sorted' from its own patched code, and step 133 moved on to broader test sweeps without ever addressing it",high,,0.015063,363
12,django__django-14170,15 min - 1 hour,regression_only,65,fix_design,M1,dismissed red evidence it had itself produced,agent,"step 64 showed the agent's disable-the-optimization fix broke 6 existing db_functions tests (which assert BETWEEN/no-extract for iso_year); instead of revising the design to keep the optimization with ISO-week bounds, step 65 pivoted to git-log archaeology, never returned to the failures, and the final summary claimed only that other suites pass.","FAILED (failures=6, skipped=12)",True,True,False,,high,,0.01374,362
13,sympy__sympy-20428,15 min - 1 hour,wrong_or_no_fix,55,root_cause_diagnosis,M3,"patched the symptom site, not the mechanism it had identified",agent,"steps 17-22 showed the original constant coefficient is symbolically zero (expr.is_zero True) yet the Poly keeps it as a non-zero EX coefficient; step 55 committed to stripping the rep inside clear_denoms without asking why EX never detects such zeros (EX.__bool__ tests structural !=0), so the graded test asserting Poly(expr,x)==Poly(0,x) at construction still fails.","f = dup_mul_ground(f, common, K0)
        f = dup_strip(f)",True,True,False,,med,,0.017628,444
14,django__django-15732,15 min - 1 hour,wrong_or_no_fix,192,fix_design,M1,dismissed red evidence it had itself produced,agent,"after its own repro3 of the issue-title scenario (unique=True field + single-field unique_together) still failed at step 191, step 192 declared that case 'unfixable ... because both constraints are indistinguishable in introspection' and settled for the PK-only fix, even though its own step 89 output showed the constraints distinguishable by the default '_uniq' name suffix the gold patch keys on.",The remaining scenario (a non-PK field with `unique=True` plus a unique_together on the same single field) is unfixable on PostgreSQL because both constraints are indistinguishable in introspection,True,False,True,,high,,0.030925,609
15,sphinx-doc__sphinx-7462,<15 min fix,wrong_or_no_fix,65,fix_design,M1,dismissed red evidence it had itself produced,agent,"step 52 had just proven 'Tuple[]' is a SyntaxError, yet the step 65 edit merely guarded the pop so Tuple[()] renders as the invalid 'Tuple[]' (step 68 output: 'Tuple','[',']') instead of emitting the '()' punctuation the notation requires; the issue asked for 'valid type annotations'.","Tuple[()] -> [<pending_xref: <#text: 'Tuple'>>, <desc_sig_punctuation: <#text: '['>>, <desc_sig_punctuation: <#text: ']'>>]",True,True,False,"the parallel empty-tuple flaw in sphinx/pycode/ast.py unparse (read at step 12, surfaced by the grep at step 8) was never fixed, failing the second graded test test_unparse[()-()]",high,,0.013662,249
16,django__django-15098,15 min - 1 hour,wrong_or_no_fix,131,fix_design,M4,committed to a fix design against an available signal,agent,"step 131 replaced the language-prefix regex with a hand-rolled strict RFC 5646 validator right after reading evidence for the opposite design: step 125 showed the historical commit 'Accept most valid language codes... less restrictive regular expression' and step 130 showed the permissive language_code_re; the strict regex rejects tags such as i-mingo that the graded tests feed through get_language_from_path, so the minimal permissive extension (allow one more subtag) was the informed choice.","r'^/((?:[a-z]{2,3}(?:-[a-z]{3}){0,3}|[a-z]{4}|[a-z]{5,8})'",True,True,False,,med,,0.03751,863
17,django__django-16950,15 min - 1 hour,regression_only,180,fix_design,M4,committed to a fix design against an available signal,agent,"step 180 gated the parent-key nulling on 'not self.is_bound' for every inline, which silently disables the #24377 behavior (null the auto-generated PK on bound POSTs too) that the agent had just read in commit 1306cd1e8a at steps 131-134; its own diagnosis distinguished PK (regenerated on save) from non-PK to_field (not regenerated), so the skip should have been scoped to the non-pk to_field case only, as the gold fix does.",if self.instance._state.adding and not self.is_bound:,True,True,False,,med,,0.031774,664
18,matplotlib__matplotlib-21568,15 min - 1 hour,partial_fix,231,fix_design,E1,"hidden tests grade the maintainer's fix, not the issue",exam,"every action reads reasonable: the agent isolated math-mode space-eating and colon-spacing, empirically validated its '\\ ' space escape against real LaTeX width measurements (steps 87-88, 169-172) as exactly matching the 3.3 plain-text spacing the issue asked for, and matched gold on '{:}'; the two still-failing graded cases differ only in the gold test pinning '\\;' (thick math space) instead of '\\ ', an aesthetic implementation detail the issue never stated, and that mismatch never became visible in the run, so the marker sits on the final step.","The only failing local tests are the existing usetex formatter string tests, whose expected strings encode the old (broken) unescaped output",True,True,False,,med,uphold_eval_side:spec_underdetermined,0.037895,653
19,sphinx-doc__sphinx-7590,>4 hours,wrong_or_no_fix,73,fix_design,M4,committed to a fix design against an available signal,agent,"step 73 defined ASTUserDefinedLiteral.get_id to delegate to the inner literal, so '1q_s' and '1' both mangle to L1E (visible at steps 78 and 134 and never questioned), ignoring both the Itanium mangling scheme named in the file header and the 'li'+identifier UDL encoding of ASTOperatorLiteral the agent had read at step 68; graded test_expressions checks UDL ids and fails while all pre-gold tests pass.","def get_id(self, version: int) -> str:
+        return self.literal.get_id(version)",True,True,False,,med,,0.045304,737
20,mwaskom__seaborn-3187,15 min - 1 hour,wrong_or_no_fix,141,localization,M2,scoped out a visible sibling of the same bug,agent,"step 141 concluded the classic scatterplot path was unaffected and needed no fix, based on repro runs (steps 62, 139) that used legend='full', which bypasses the locator/ScalarFormatter path the issue was about; the issue statement explicitly said scatterplot reproduces, and seeing raw full values instead of the reported truncated ones should have flagged the repro as not exercising the buggy path, so seaborn/utils.py was never touched and the relational F2P test cannot pass.",The `scatterplot` case isn't affected in this version,True,True,False,"independent divergence on the objects-interface fix itself: the agent kept offset-formatted labels and appended the offset to the legend title (a direction the issue author suggested), while the gold fix disables useOffset so labels carry full values; the graded objects test asserts label floats > 1e7, so even the patched interface fails grading",med,,0.019369,376
21,django__django-14155,15 min - 1 hour,wrong_or_no_fix,147,fix_design,E1,"hidden tests grade the maintainer's fix, not the issue",exam,"steps 55-101 implemented the __init__ unwrap that the issue text itself proposed ('unwrap functools.partial objects in ResolverMatch.__init__()') and verified against the existing suite (step 132 all ok); the graded tests instead require a __repr__-only fix that keeps the partial and adds %r quoting of url_name/route, details the issue never stated, and the mismatch was never visible to the agent",test_repr (urlpatterns_reverse.tests.ResolverMatchTests) ... ok,True,True,False,,high,uphold_eval_side:spec_underdetermined,0.015916,367
22,sphinx-doc__sphinx-7748,15 min - 1 hour,wrong_or_no_fix,105,fix_design,M2,scoped out a visible sibling of the same bug,agent,"step 103 built a SWIG-style overloaded class-constructor test, step 104 showed only the first signature rendered for the class case, and step 105 waved the gap off as acceptable because 'PR is about methods'; the graded tests (autoclass_content init/both with class E) are exactly the class-constructor case, and no rendering of extra signatures was ever added to ClassDocumenter",The class case works (signatures stripped from content; only first shown,True,True,False,"gold tests also demand handling backslash-continuation multiline signatures (docstring lines ending in '\'), a format the issue never mentions; the agent's consecutive-line matcher would mis-parse the trailing backslash even if class rendering were fixed",med,,0.022551,386
23,django__django-15695,15 min - 1 hour,wrong_or_no_fix,95,fix_design,M3,"patched the symptom site, not the mechanism it had identified",agent,"step 95 placed the same-name guard inside BaseDatabaseSchemaEditor.rename_index instead of in RenameIndex.database_forwards, where the issue located the behavior; the graded re-apply calls database_forwards(new_state, project_state), whose to_state lacks the renamed index, so new_index is None and the operation crashes before the schema-editor guard can help",make `rename_index()` a no-op when the name isn't changing,True,True,False,"the gold test's argument order (new_state, project_state) differs from the reproduction diff printed in the issue (project_state, new_state), which the agent's patch does pass; only an operation-level guard passes both",med,,0.011653,257
24,scikit-learn__scikit-learn-14983,<15 min fix,wrong_or_no_fix,143,fix_design,M4,committed to a fix design against an available signal,agent,"steps 128-141 hardcoded a __repr__ on _RepeatedSplits reproducing the issue's Expected Results string verbatim (constructor order, n_splits first) and asserted exact equality; the hidden test asserts the alphabetized _build_repr ordering (n_repeats first), contradicting the issue's own expected output, and the mismatch was never visible during the run","RepeatedKFold(n_splits=5, n_repeats=10, random_state=None)",True,True,False,,med,overturn_to_agent,0.033807,701
25,pylint-dev__pylint-4970,<15 min fix,wrong_or_no_fix,133,fix_design,M5,verified against evidence that never exercised the bug,agent,"step 133 codified its acceptance criterion as the standalone tool still printing 'TOTAL lines=62 duplicates=0 percent=0.00' under min lines 0; the spec says 0 should disable the check, and the graded test asserts empty stdout, which the later guard placed in _compute_sims (step 233) rather than run() preserves by still calling _display_sims",expected: 'TOTAL lines=62 duplicates=0 percent=0.00',True,True,False,,med,,0.051138,742
26,psf__requests-1142,<15 min fix,wrong_or_no_fix,48,submission,E2,the grading machinery itself broke,exam,"the models.py edit at step 39 is line-for-line the gold fix and was verified locally (steps 41-42, 53-54: GET/HEAD prepare with no Content-Length); the pre-existing untracked build/ tree first surfaced in git status at step 48 and was left in place, and the submitted patch swept ~900KB of those stale package copies in, after which the graded test still fails, meaning the correct fix never took effect at evaluation time"," M requests/models.py
?? build/",True,True,False,,med,uphold_eval_side:env_flake,0.005436,119
27,django__django-10554,1-4 hours,wrong_or_no_fix,83,root_cause_diagnosis,M5,verified against evidence that never exercised the bug,agent,"steps 54-60 showed the reported re-evaluation break no longer reproduced on HEAD (the clone fix was already merged) and the original qs stayed unmutated, yet step 83 committed to clearing subquery ordering, fixing an inner-ordering scenario the agent had constructed itself instead of re-reading the ambiguous repro for the outer order_by()+values_list column mismatch the tests grade",compiler.query.clear_ordering(True),True,False,False,,med,,0.035663,702
28,django__django-12406,15 min - 1 hour,partial_fix,156,fix_design,E1,"hidden tests grade the maintainer's fix, not the issue",exam,"the agent reproduced the bug (step 48), suppressed empty_label for required RadioSelect fields (step 104), re-ran the repro seeing the blank option gone (step 108), and ran six test suites clean; the graded test instead calls ModelChoiceField(categories, widget=widget, blank=blank), requiring a new 'blank' constructor kwarg the issue text never mentions, so the mismatch was never visible before submit","isinstance(widget, RadioSelect) or\n            (isinstance(widget, type) and issubclass(widget, RadioSelect))",True,True,False,,med,uphold_eval_side:spec_underdetermined,0.022572,435
29,django__django-16256,15 min - 1 hour,partial_fix,37,localization,M2,scoped out a visible sibling of the same bug,agent,"step 37 scoped the work to 'both related manager factories' in related_descriptors.py, taking the issue's 'e.g.' example diff as the exhaustive fix site; the agent never grepped the repo for other related-manager implementations, so the identical create/get_or_create pattern in django/contrib/contenttypes/fields.py (GenericRelatedObjectManager) was never patched and the three generic_relations async tests still fail",I need to add proper async versions to both related manager factories.,True,True,False,,high,,0.013603,234
30,django__django-14011,1-4 hours,wrong_or_no_fix,215,fix_design,E1,"hidden tests grade the maintainer's fix, not the issue",exam,"the agent's fix (steps 135-194: a private ThreadedWSGIServer subclass whose process_request_thread calls connections.close_all() in a finally) addresses the reported connection-leak race, but the gold test patch rewrites LiveServerThread._create_server to instantiate server_class with a connections_override kwarg only the gold ThreadedWSGIServer accepts, so every live-server F2P test (even test_404) errors out; nothing in the issue stated that interface and no step could have revealed it",server_class = _ThreadedWSGIServer,True,False,False,"the agent's own scratch reproduction test never passed as an assertion (FAIL at steps 176 and 180); it settled for debug-print evidence at steps 187-190 that close_all now runs in the request thread, then deleted the scratch test",high,uphold_eval_side:spec_underdetermined,0.032914,601
31,pylint-dev__pylint-4551,1-4 hours,wrong_or_no_fix,172,fix_design,E1,"hidden tests grade the maintainer's fix, not the issue",exam,"the agent implemented annotation-aware type resolution as a private helper inside inspector.py, verified the PR's exact example now renders 'a : str' (steps 108-109, 170-171) and kept all 23 existing pyreverse tests green; the gold test patch instead imports get_annotation and infer_node from pylint.pyreverse.utils, so the graded test module fails at import time, taking down all 10 F2P tests including untouched ones like test_get_visibility, an API placement unknowable from the issue","""0"" [label=""{C|a : str\l|}"", shape=""record""];",True,True,False,,high,uphold_eval_side:spec_underdetermined,0.030625,510
32,django__django-11087,15 min - 1 hour,budget_stop,63,fix_design,M1,dismissed red evidence it had itself produced,agent,"steps 56-62 showed the step-50 blanket .only('pk') broke the long-standing post_delete signal test and the agent read the failing test, but from step 63 it pivoted to git/docs archaeology, pip downloads, and repeated test sweeps, never edited deletion.py again, and at step 262 declared the fix complete with the test still failing at step 261 when max_spend hit.",ERROR: test_relational_post_delete_signals_happen_before_parent_object (delete.tests.DeletionTests),True,False,True,,med,,0.053371,875
33,django__django-16263,1-4 hours,budget_stop,274,fix_design,E1,"hidden tests grade the maintainer's fix, not the issue",exam,"the annotation-stripping design built in steps 131-265 satisfied the issue's stated behavior and passed all 837 tests in aggregation/aggregation_regress/queries/expressions at step 269, but it flattens an unreferenced aggregate annotation to a single flat SELECT COUNT(*) while the gold F2P test asserts subquery wrapping must be retained; that mismatch was never visible in-run and the run was cut by max_spend at step 274 during healthy edge-case verification.","annotate count => 2\n    SELECT COUNT(*) AS ""__count"" FROM ""aggregation_book""",True,True,False,,med,uphold_eval_side:spec_underdetermined,0.050495,1150
34,pydata__xarray-6461,<15 min fix,wrong_or_no_fix,31,fix_design,M1,dismissed red evidence it had itself produced,agent,"step 30 correctly diagnosed that scalar arguments are absent from the attrs list, but the step-31 edit falls back to another argument's attrs (attrs[0], or y's attrs shifted into attrs[1]) instead of returning empty attrs when x is a scalar; step 35 then printed case 4 keeping y's attrs and the agent accepted it as correct at step 36.",if len(attrs) > 1:\n                return attrs[1]\n            return attrs[0],True,True,False,,high,,0.003221,95
35,sympy__sympy-18698,15 min - 1 hour,wrong_or_no_fix,262,fix_design,M4,committed to a fix design against an available signal,agent,"the step-168 merge groups sqf factors by (multiplicity, gens), deliberately preserving the repo's own test_factor_terms assertion sqf_list(x*(x+y)) == (1, [(x,1),(x+y,1)]) which the agent read at step 123 and re-verified at step 133; the gold patch merges across gens and flips that very assertion, so the only graded failure contradicts the test suite the agent was working against and never became visible in-run.","assert sqf_list(x*(x + y)) == (1, [(x, 1), (x + y, 1)])",True,True,False,,med,overturn_to_agent,0.053362,1061
36,sphinx-doc__sphinx-8638,15 min - 1 hour,budget_stop,197,fix_design,M4,committed to a fix design against an available signal,agent,step 197 committed to reordering find_obj resolution priority although the issue's stated expected behavior was that ivar/cvar fields not auto-link at all; step 208 then showed the links still present after the edit and the agent proceeded to regression testing anyway,Now I have a clear picture. Let me look at the exact code and implement the fix.,True,False,False,steps 61-158 repo archaeology plus repeated network attempts (step 164 pip download after step 38 had already shown no DNS) burned budget; the run hit max_spend at step 247 without a final answer,high,,0.052024,898
37,astropy__astropy-7606,15 min - 1 hour,regression_only,49,verification,E2,the grading machinery itself broke,exam,"every step reasonable: reproduced at step 10, guarded __eq__ at step 13 mirroring the base-class pattern, ran the full units suite at step 35 and confirmed the single failure pre-existing via git stash at step 44; the graded regression test_compose_roundtrip[] never failed in any of the agent's runs and its mechanism is not visible in the trajectory","1 failed, 1818 passed, 5 skipped, 6 xfailed, 1 warnings in 5.06 seconds",True,True,False,,med,uphold_eval_side:env_flake,0.001864,72
38,django__django-16631,1-4 hours,wrong_or_no_fix,179,fix_design,E1,"hidden tests grade the maintainer's fix, not the issue",exam,"agent threaded a secret kwarg through get_session_auth_hash and checked fallbacks in login/get_user (steps 98-105), verified both paths end-to-end (steps 114, 119) and ran 1110 auth/session/signing tests green (step 160); the graded test additionally demands session-key cycling and hash refresh when a fallback matches, behavior the issue never stated","Ran 1110 tests in 12.720s\nOK (skipped=2, expected failures=1)",True,True,False,,med,uphold_eval_side:spec_underdetermined,0.02391,538
39,matplotlib__matplotlib-20676,<15 min fix,wrong_or_no_fix,261,fix_design,E1,"hidden tests grade the maintainer's fix, not the issue",exam,"agent root-caused the axvline/axhline autoscale mechanism (steps 90-94), caught its own incomplete first fix with a no-draw repro at step 144, extended it, and verified limits stay (9.5, 20.5) for horizontal, vertical, blit and direction-switch cases (steps 219-248); the graded test additionally asserts _edge_handles.positions equals the axis bounds, which is the gold implementation's private initialization choice, not stated in the issue",PASS: interactive SpanSelector no longer expands axes limits to include 0,True,True,False,,high,uphold_eval_side:spec_underdetermined,0.032806,650
40,sphinx-doc__sphinx-9229,1-4 hours,budget_stop,71,localization,M8,wandered into archaeology until the budget died,agent,"after the step 58 repro showed the PR's own example already rendering all three docstrings, step 71 began roughly 90 steps of git-log/CHANGES archaeology instead of varying the repro across alias kinds; the class-alias shape only surfaced via a contrived mutated-__module__ case at step 224 and the step 225 get_real_modname edit was never run before max_spend killed the run",cd /testbed && git log --oneline --all --grep='4422\|docstring.*alias\|alias.*docstring' | head -20,True,False,False,"the step 225 edit targeted get_real_modname based on the artificial __module__='typing' repro (step 223), and does not address the 'alias of' line that step 220 showed rendered alongside the doc comment",med,,0.050225,604
41,sympy__sympy-21930,15 min - 1 hour,partial_fix,77,fix_design,M1,dismissed red evidence it had itself produced,agent,"step 76 printed AntiSymmetricTensor**2 as v^{ai}_{bj}^{2}, the identical malformed double superscript, and step 77 dismissed it as out of scope instead of brace-wrapping that _latex too; that unfixed sibling site is exactly what the still-failing test_Tensors grades",The `AntiSymmetricTensor` issue is separate and not part of this PR (which is specifically about the `\dagger` operators).,True,True,False,,high,,0.007633,155
42,matplotlib__matplotlib-25479,<15 min fix,wrong_or_no_fix,115,fix_design,E1,"hidden tests grade the maintainer's fix, not the issue",exam,"step 67 fixed the reported name mismatch inside pyplot.set_cmap and step 71 saw the issue's repro pass; the graded tests instead require registry-side renaming on register plus a name-blind Colormap.__eq__, implementation details the issue never stated, and the mismatch never surfaced through the final step 115",rcParams image.cmap = my_cmap_name\nimshow OK,True,True,False,,med,uphold_eval_side:spec_underdetermined,0.014608,323
43,sphinx-doc__sphinx-9711,<15 min fix,wrong_or_no_fix,112,submission,E2,the grading machinery itself broke,exam,"steps 3-57 localized the string-comparison bug, step 58-60 fixed it with packaging.Version plus string fallback, and steps 65-111 verified via repro, e2e builds, and test suites; the submitted logic is behaviorally identical to the gold patch on the graded 3.9/3.10/3.11 inputs (re-executed independently during coding), yet the F2P test is marked failing 0/1",OK: req='0.6.0'    ext='0.10.0'       raised=False (expected False),True,True,False,,med,uphold_eval_side:env_flake,0.011469,250
44,pydata__xarray-6992,>4 hours,wrong_or_no_fix,112,fix_design,E1,"hidden tests grade the maintainer's fix, not the issue",exam,"step 58's one-line coord_names fix restored the _coord_names subset-of _variables invariant the issue reported, fixed the MVCE (step 61), and passed the full existing suite (steps 79-80, 107-108); the graded tests demand the maintainers' full reset_index/set_index behavioral redesign (level renaming, drop-convert semantics, index reassignment) that the issue never stated, and the divergence never surfaced through step 112","908 passed, 2 skipped, 7 xfailed, 2 xpassed, 7 warnings in 7.93s",True,True,False,,med,uphold_eval_side:spec_underdetermined,0.010562,273
45,django__django-14534,<15 min fix,partial_fix,109,verification,M1,dismissed red evidence it had itself produced,agent,"step 92 showed the applied patch erroring test_iterable_boundfield_select with KeyError 'id' (a crash the agent had already reproduced at steps 58 and 65); at step 109 it declared the test outdated and wrote its own 'simulated new tests' instead of using attrs.get('id') to return None for id-less subwidgets, which is exactly the gold fix and passes the rewritten graded test",The fix works for the custom auto_id case. Let me simulate the expected new tests (as the upstream fix would have modified them) to confirm:,True,False,False,,high,,0.030343,883
46,django__django-13023,<15 min fix,wrong_or_no_fix,26,fix_design,M2,scoped out a visible sibling of the same bug,agent,"step 25's own verification script showed ValueError leaking from Decimal() for a list input; step 26 dismissed it as 'a separate edge case not part of this PR' and shipped a TypeError-only except clause, leaving unfixed the same leak class that the graded tests cover with tuple/list/empty-sequence inputs (gold catches ValueError too)",A list raises `ValueError` (a separate edge case not part of this PR).,True,True,False,,high,,0.002326,59
47,django__django-15252,15 min - 1 hour,wrong_or_no_fix,197,verification,M1,dismissed red evidence it had itself produced,agent,"step 130 showed the recorder-obeys-router fix breaking existing test_migrate_fake_initial; from step 197 the agent temporarily rewrote the test router to 'simulate the gold test patch', restored it, and submitted with the suite red instead of redesigning toward a fix that kept existing tests green (gold guards executor.migrate against creating the table when the plan is empty)",Let me temporarily test whether my recorder fix works with a TestRouter that allows the `migration` model (simulating what the upstream test patch might do):,True,False,False,,med,,0.06636,1091
48,django__django-15629,1-4 hours,partial_fix,190,verification,M5,verified against evidence that never exercised the bug,agent,"step 189 produced the issue's expected 'MODIFY ... COLLATE' by calling _alter_column_collation_sql directly on the FK field; step 190 took that as proof the fix was complete without tracing that alter_field's rels_to_update loop (on screen at steps 76 and 224-225) still routes referencing FK columns through _alter_column_type_sql with no collation, the exact path the still-failing AlterField F2P test exercises",The MySQL MODIFY statements now match the PR's expected output. Let me run the broader test suites to check for regressions:,True,True,False,,med,,0.03223,563
49,django__django-11885,1-4 hours,regression_only,126,verification,M1,dismissed red evidence it had itself produced,agent,"step 101 showed test_large_delete and test_large_delete_related newly failing under the patch, and at step 126 the agent declared 'these test expectations will be updated by the PR's test patch' instead of redesigning the combine to preserve per-batch query counts; both remained broken P2P regressions at grading.",The failure shows the 4 User fast deletes were correctly combined into 1 query (22 vs 25). These test expectations will be updated by the PR's test patch.,True,True,False,,high,,0.027802,461
